accel_x,accel_y,accel_z,angle_ankle,angle_knee,angle_shank,angle_thigh,current_ankle,current_knee,current_qaxis_ankle,current_qaxis_knee,ground_reaction_force_vertical,gyro_x,gyro_y,gyro_z,impedance_current_desired_ankle,impedance_current_desired_knee,impedance_damping_ankle,impedance_damping_knee,impedance_equilibrium_angle_ankle,impedance_equilibrium_angle_knee,impedance_stiffness_ankle,impedance_stiffness_knee,impedance_torque_desired_ankle,impedance_torque_desired_knee,loadcell_force_sagittal,loadcell_force_x,loadcell_force_y,loadcell_force_z,loadcell_moment_x,loadcell_moment_y,loadcell_moment_z,velocity_ankle,velocity_knee
-0.012109,-0.062354,1.1536,8.4774,0.32885,14.011,13.675,-12.099,-0.64383,-4.5941,-0.24447,0.95133,-12.729,82.187,-10.885,-0.23941,-0.031987,0.0011922,0.0012564,-0.78944,8.4366,0.12312,0.041287,-0.016718,-0.0023603,-68.437,-3.8581,-92.927,589.86,30.783,-35.364,-2.8112,-1.753,12.8
-0.0086398,-0.076402,1.1465,8.3938,0.61435,15.191,14.569,-12.7,-0.80641,-4.8223,-0.30621,0.88196,-13.803,85.919,-11.231,-0.24216,-0.037784,0.0011026,0.0010713,-1.015,11.04,0.12504,0.039708,-0.01691,-0.002788,-54.354,6.5749,-83.443,550.95,30.131,-33.585,-2.2747,-6.8935,17.075
0.0063481,-0.094204,1.1418,8.2242,0.97141,16.428,15.449,-13.096,-0.96097,-4.9728,-0.3649,0.79502,-14.311,90.451,-11.752,-0.24441,-0.045008,0.0010211,0.00091269,-1.2956,14.677,0.12648,0.037945,-0.017068,-0.003321,-35.504,18.437,-68.647,502.6,28.142,-30.41,-1.7016,-12.331,22.389
0.049594,-0.1131,1.1439,7.9743,1.4357,17.758,16.315,-13.319,-1.083,-5.0575,-0.41124,0.695,-14.188,96.25,-12.748,-0.2448,-0.056371,0.0009614,0.00080187,-1.5636,19.099,0.12677,0.036351,-0.017095,-0.0041595,-13.846,31.079,-50.66,447.3,25.155,-26.187,-1.0771,-18.695,29.517
0.064082,-0.14613,1.169,7.6132,2.0369,19.193,17.149,-13.375,-1.2607,-5.0789,-0.4787,0.59015,-12.863,102.26,-14.836,-0.24763,-0.072598,0.00091677,0.0007229,-1.8421,23.991,0.12626,0.035262,-0.017293,-0.0053568,8.0492,43.596,-32.213,389.61,21.707,-21.459,-0.42235,-26.91,40.675
0.0097503,-0.16571,1.1793,7.126,2.8297,20.711,17.874,-13.37,-1.5381,-5.0767,-0.58405,0.48918,-11.039,106.74,-17.896,-0.24691,-0.092828,0.00087842,0.00065777,-2.1599,28.992,0.12562,0.034531,-0.017242,-0.0068496,28.674,55.474,-14.923,334.57,18.207,-16.705,0.21197,-36.501,57.348
-0.045462,-0.18783,1.1658,6.4526,3.9709,22.286,18.308,-13.277,-1.8832,-5.0414,-0.71507,0.3964,-8.773,109.46,-20.751,-0.24101,-0.11349,0.00084969,0.00060951,-2.3716,33.817,0.12413,0.034096,-0.01683,-0.0083739,47.439,66.258,0.83042,284.63,14.803,-12.221,0.76118,-48.32,81.815
-0.033177,-0.21363,1.1325,5.6369,5.5134,23.903,18.382,-13.038,-2.2244,-4.9507,-0.84463,0.31472,-6.6118,112.06,-22.594,-0.23217,-0.13571,0.00083365,0.00058558,-2.4295,38.27,0.12144,0.033846,-0.016213,-0.010013,62.545,74.739,13.713,240.81,11.706,-8.2993,1.2148,-59.24,111
0.027467,-0.24379,1.119,4.6915,7.4872,25.574,18.079,-12.64,-2.5491,-4.7996,-0.96795,0.24558,-4.8079,115.41,-23.188,-0.21804,-0.15429,0.00082279,0.00057303,-2.1902,41.754,0.11692,0.0337,-0.015226,-0.011385,71.906,79.624,22.067,202.94,9.1745,-5.1893,1.5924,-69.438,143.04
0.10071,-0.27436,1.1156,3.5728,9.9337,27.291,17.35,-12.082,-2.8231,-4.5876,-1.072,0.19073,-3.3027,119.48,-23.847,-0.1954,-0.16786,0.00082467,0.00058485,-1.567,44.26,0.10996,0.033607,-0.013645,-0.012386,74.729,80.584,25.099,171.41,7.4041,-3.0422,1.8796,-78.909,175
0.13977,-0.2813,1.0961,2.3569,12.816,29.079,16.255,-11.284,-2.9755,-4.2845,-1.1299,0.14893,-1.7729,124.25,-23.33,-0.16846,-0.17538,0.00083339,0.00062235,-0.43979,46.267,0.1003,0.03351,-0.011764,-0.012941,71.849,77.954,23.656,145.44,6.3031,-1.7745,2.0464,-83.147,203
0.13317,-0.26556,1.0611,1.1785,16.017,30.92,14.896,-10.311,-2.954,-3.9154,-1.1217,0.11611,-0.8149,127.86,-21.904,-0.13671,-0.17249,0.00084567,0.00067336,1.0206,47.716,0.089136,0.033449,-0.0095468,-0.012727,65.823,72.853,20.235,123.2,5.4946,-1.1103,2.0314,-83.698,226
0.087208,-0.23819,1.0175,-0.016685,19.495,32.794,13.292,-9.0755,-2.6715,-3.4461,-1.0144,0.08699,0.17296,128.68,-19.21,-0.098621,-0.16476,0.00085618,0.00071851,2.6044,48.733,0.077807,0.03336,-0.0068869,-0.012157,58.909,66.416,16.895,102.01,4.6135,-0.73313,1.824,-81.14,242.18
-0.0099246,-0.20599,0.98985,-1.1296,23.132,34.626,11.487,-7.5764,-2.1812,-2.8769,-0.82824,0.059504,0.59159,125.64,-15.993,-0.059641,-0.15161,0.00086537,0.00076822,4.1631,49.363,0.067001,0.033197,-0.0041648,-0.011187,52.624,59.751,14.67,81.099,3.5458,-0.43723,1.4811,-75.26,251.97
-0.11574,-0.17368,0.99198,-2.11,26.866,36.372,9.499,-5.9326,-1.6813,-2.2527,-0.6384,0.034183,0.63418,118.03,-12.011,-0.023499,-0.13212,0.00087695,0.00081923,5.5518,49.414,0.057204,0.032925,-0.001641,-0.009749,47.318,53.506,13.411,61.13,2.3805,-0.16919,1.0793,-64.327,255.69
-0.25001,-0.15141,0.98039,-2.9297,30.607,37.946,7.3306,-4.1976,-1.1294,-1.5939,-0.42885,0.012495,0.36758,105.4,-7.2595,0.0093158,-0.11075,0.00089984,0.00086349,6.5014,48.52,0.049771,0.032642,0.00065054,-0.0081718,43.065,48.156,12.747,43.389,1.2602,0.069887,0.68545,-48.432,252.73
-0.38806,-0.13867,0.96171,-3.4801,34.18,39.292,5.1058,-2.5001,-0.57402,-0.94931,-0.21797,-0.004788,0.050192,88.83,-3.0768,0.032695,-0.087117,0.00093006,0.00090932,6.9613,46.857,0.044974,0.032415,0.0022831,-0.0064281,39.767,43.89,12.349,28.711,0.29164,0.29042,0.36027,-29.959,244.57
-0.51794,-0.13879,0.94746,-3.7397,37.622,40.354,2.7242,-0.98432,-0.045152,-0.37376,-0.017145,-0.017441,-0.69444,68.458,0.43009,0.050649,-0.061164,0.00096606,0.00096643,7.1309,44.597,0.041562,0.032202,0.0035369,-0.0045131,37.226,40.714,11.931,17.463,-0.45412,0.47832,0.12786,-11.144,230.95
-0.60166,-0.14128,0.91982,-3.708,40.745,41.082,0.32976,0.27951,0.4345,0.10614,0.16499,-0.024871,-1.0996,45.56,3.6259,0.058216,-0.028391,0.0010219,0.0010382,6.9095,40.876,0.039446,0.032,0.0040653,-0.0020949,34.908,38.331,11.037,10.008,-0.90232,0.57852,-0.012665,8.0679,212.45
-0.67964,-0.15489,0.87048,-3.4322,43.526,41.457,-2.0764,1.1402,0.9477,0.43294,0.35986,-0.027884,-1.4884,20.643,5.6085,0.05918,-0.0011934,0.0010967,0.0011277,6.2237,35.672,0.039144,0.031825,0.0041327,-8.8061e-05,32.89,36.637,9.8766,6.0235,-1.1044,0.61103,-0.080222,24.285,187.19
-0.73602,-0.16425,0.80323,-2.9623,45.962,41.432,-4.5371,1.7143,1.5392,0.65095,0.58447,-0.027653,-1.8197,-6.6879,6.8232,0.057171,0.026892,0.0011903,0.0012538,5.1434,29.1,0.040262,0.031743,0.0039924,0.0019843,31.257,35.518,8.6868,4.7567,-1.1411,0.60077,-0.096356,37.741,157.12
-0.77404,-0.17287,0.71584,-2.3343,47.876,41.001,-6.8828,1.9703,2.1854,0.74817,0.82984,-0.025575,-2.0495,-35.576,7.3581,0.050121,0.065434,0.0012887,0.0014269,3.8998,22.065,0.042029,0.031724,0.0035001,0.0048282,30.214,34.914,7.8158,5.2891,-1.1105,0.58325,-0.083677,46.965,123.38
-0.79319,-0.17214,0.61741,-1.573,49.242,40.106,-9.1421,1.9663,2.9165,0.74663,1.1074,-0.022909,-2.213,-66.702,7.8763,0.039302,0.098498,0.0013739,0.0015918,2.7874,15.831,0.043664,0.031722,0.0027445,0.0072679,29.965,34.823,7.5536,6.6974,-1.087,0.58998,-0.061162,52.739,83.3
-0.80647,-0.16981,0.52394,-0.81044,49.956,38.765,-11.199,1.7837,3.7769,0.6773,1.4342,-0.020163,-2.8438,-98.576,9.1523,0.023708,0.14403,0.0014518,0.0017223,1.7823,10.121,0.04508,0.031722,0.0016556,0.010628,30.157,34.95,7.6978,8.2087,-1.0913,0.60806,-0.043216,54.106,39.922
-0.82402,-0.17109,0.42809,-0.066664,50,36.919,-13.088,1.437,4.8226,0.54567,1.8312,-0.018243,-3.9003,-133.24,10.515,0.00985,0.18001,0.0015102,0.0018284,1.0119,5.8028,0.046213,0.031722,0.00068785,0.013283,31.223,35.567,8.5894,9.334,-1.1713,0.68705,-0.034658,50.685,-8.6678
-0.82367,-0.16966,0.3601,0.62162,49.366,34.571,-14.802,1.0122,5.7833,0.38434,2.196,-0.017313,-4.9023,-169.47,13.183,-0.0020107,0.20909,0.0015476,0.0019323,0.52631,2.9815,0.046843,0.031722,-0.00014041,0.015428,32.928,36.615,9.9521,9.6758,-1.3023,0.81903,-0.029469,43.62,-59.527
-0.80786,-0.1639,0.30723,1.1697,47.896,31.657,-16.247,0.56659,6.6506,0.21514,2.5253,-0.016875,-6.2482,-207.01,17.047,-0.012123,0.22535,0.0015682,0.002001,0.25488,1.4018,0.047195,0.031722,-0.00084659,0.016628,34.648,37.734,11.265,9.0911,-1.432,0.95719,-0.024064,33.765,-110.84
-0.76605,-0.17036,0.30636,1.5366,45.771,28.24,-17.539,0.15866,7.0705,0.060247,2.6848,-0.016327,-7.9759,-241.94,22.069,-0.017698,0.22706,0.0015773,0.0020314,0.13223,0.72727,0.047389,0.031722,-0.0012359,0.016754,35.15,38.143,11.567,7.4065,-1.4739,1.018,-0.018306,22.941,-156.59
